Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
442.06,135013.99,86044.51,79540.77,10485.67,45739.6,9315.19,15162.71,3195.6,9726.65,8472.97,3191.95,12715.1,1122.76
442.16,135307.91,86281.57,79750.78,10522.49,45878.66,9346.29,15214,3208.82,9761.43,8503.08,3204.11,12760.91,1127.49
442.26,135602.31,86519.16,79961.24,10559.42,46018.06,9377.47,15265.43,3222.09,9796.33,8533.28,3216.31,12806.85,1132.24
442.36,135897.2,86757.3,80172.15,10596.46,46157.79,9408.75,15317.02,3235.4,9831.33,8563.57,3228.55,12852.94,1137
442.46,136192.58,86995.97,80383.51,10633.6,46297.85,9440.11,15368.75,3248.76,9866.45,8593.95,3240.84,12899.16,1141.78
442.56,136488.45,87235.18,80595.33,10670.86,46438.24,9471.56,15420.64,3262.17,9901.67,8624.43,3253.17,12945.53,1146.58
442.66,136784.8,87474.94,80807.6,10708.22,46578.97,9503.1,15472.68,3275.62,9937,8655,3265.54,12992.03,1151.4
442.76,137081.65,87715.24,81020.32,10745.69,46720.03,9534.73,15524.87,3289.13,9972.44,8685.66,3277.95,13038.68,1156.24
442.86,137378.98,87956.08,81233.49,10783.27,46861.42,9566.45,15577.21,3302.68,10008,8716.42,3290.4,13085.47,1161.09
442.96,137676.8,88197.46,81447.13,10820.97,47003.15,9598.26,15629.71,3316.28,10043.66,8747.27,3302.89,13132.4,1165.96
443.06,137975.11,88439.39,81661.22,10858.77,47145.22,9630.16,15682.36,3329.93,10079.43,8778.21,3315.43,13179.47,1170.85
443.16,138273.92,88681.87,81875.76,10896.68,47287.62,9662.15,15735.17,3343.62,10115.32,8809.25,3328.01,13226.68,1175.75
443.26,138573.21,88924.89,82090.76,10934.71,47430.36,9694.23,15788.12,3357.37,10151.32,8840.38,3340.63,13274.04,1180.68
443.36,138872.99,89168.46,82306.23,10972.84,47573.44,9726.4,15841.24,3371.16,10187.42,8871.6,3353.29,13321.54,1185.62
443.46,139173.27,89412.58,82522.15,11011.09,47716.85,9758.66,15894.5,3385,10223.64,8902.92,3365.99,13369.18,1190.58
443.56,139474.04,89657.25,82738.53,11049.45,47860.6,9791.01,15947.93,3398.89,10259.98,8934.34,3378.74,13416.97,1195.55
443.66,139775.31,89902.47,82955.37,11087.92,48004.7,9823.45,16001.5,3412.83,10296.42,8965.85,3391.53,13464.9,1200.55
443.76,140077.06,90148.24,83172.67,11126.5,48149.13,9855.99,16055.24,3426.82,10332.98,8997.45,3404.36,13512.97,1205.56
443.86,140379.31,90394.56,83390.44,11165.2,48293.9,9888.61,16109.13,3440.85,10369.65,9029.16,3417.24,13561.19,1210.6
443.96,140682.06,90641.44,83608.66,11204,48439.01,9921.33,16163.18,3454.94,10406.43,9060.95,3430.16,13609.56,1215.65
444.06,140985.3,90888.87,83827.35,11242.92,48584.47,9954.14,16217.38,3469.08,10443.33,9092.85,3443.12,13658.06,1220.71
